placeName;getty;gnd;long;lat;comment
Dresden;7004455;4012995-0;13.75;51.05;
Droyßig;;7728603-0;+012.033329;+051.049999;
Dublin;7001306;4013170-1;-6.25;53.3333;
Dubrovnik;;4013176-2;+018.092159;+042.648069;
Duderstadt;7005933;;10.25;51.5333;
Duffel;;4307647-6;+004.509030;+051.095539;
Duisburg;7004923;;6.75;51.4333;
Durlach;7013206;;8.4833;49;
Dyhernfurt;;4494802-5;+016.708149;+051.272990;
Döbeln;;4012586-5;+013.110269;+051.122100;
Düsseldorf;7004443;;6.7833;51.2167;
Ebeleben-Thüringenhausen;;1064644740;+010.800000;+051.266666;
Edderitz;;1148989722;+011.936944;+051.699166;
Ederheim-Christgarten;;4010077-7;+010.463820;+048.783439;
Edinburgh;7009546;4013557-3;-3.2167;55.95;
Eger;;4013597-4;+012.373920;+050.079630;
Ehingen (Donau);;4085537-5;+009.727500;+048.282500;
Ehrenbreitstein;7197734;;;;
Eichstätt;7004613;;11.2167;48.9;
Eilenburg;1036644;;12.6333;51.4667;
Einbeck;7005635;;9.8833;51.8167;
Einsiedeln;7007350;;8.75;47.1167;
Eisenach;7005969;4014013-1;10.3167;50.9833;
Eisenberg;1036648;;11.9;50.9667;
Eisleben;;4092450-6;+011.548333;+051.527500;
Eisleben;7012806;;11.55;51.5333;
Elberfeld;7004943;;7.1833;51.2667;
Elbing;7007656;;19.4167;54.1667;
Ellrich;1036656;4396139-3;10.6833;51.5833;
Ellwangen;7012440;;10.1167;48.95;
Elsass;7024265;;7.5;48.1667;
Emden;7005300;4014564-5;7.2167;53.3833;
Emmerich;7005163;4014593-1;+006.247919;+051.839329;
Engelthal;7187248;;;;
Enkhuizen;7007064;;5.2833;52.7;
Enkhuizen;7007064;;5.2833;52.7;
Erfurt;7024031;4015240-6;11.05;50.9667;
Erfurt-Ermstedt;;7623039-9;+010.883279;+050.967440;
Erlangen;7004332;4015299-6;11.0333;49.6;
Eschwege;7005950;;10.05;51.1833;
Essen;7004905;;6.95;51.45;
Esslingen;7012928;4015575-4;+009.304722;+048.739444;
Ettlingen;;4015636-9;+008.407629;+048.940939;
Exeter;7011953;;-3.5167;50.7167;
Faenza;;4091999-7;+011.883340;+044.285699;
Feldkirch;7003119;;9.6333;47.25;
