ISIL;ILN;ELN;Bibliothek;Anschrift;PLZ;Ort;Bundesland;Land;Lat;Long;Website;OPAC
DE-Kon10;2374;KNAS;Sozialwissenschaftliches Archiv Konstanz - Alfred-Schütz-Gedächtnis-Archiv;Geisteswissenschaftliche Sektion, Fachbereich Geschichte und Soziologie Universität Konstanz;78457;Konstanz;Baden-Württemberg;DE;47.68993;9.18938;http://cms.uni-konstanz.de/soz-archiv/aktuelles/;http://swb.bsz-bw.de/DB=2.203/
DE-Sa21;2375;SBSR;Saarländischer Rundfunk, Bibliothek;Funkhaus Halberg;66100;Saarbrücken;Saarland;DE;49.22342;7.03296;http://www.sr-online.de/;http://swb.bsz-bw.de/DB=2.203/
DE-Stg279;2376;S1BK;Archiv Baumeister im Kunstmuseum Stuttgart;Kleiner Schlossplatz 13;70173;Stuttgart;Baden-Württemberg;DE;48.77881;9.17712;http://www.kunstmuseum-stuttgart.de;http://swb.bsz-bw.de/DB=2.203/
DE-Stg283;2377;S1KM;Kunstmuseum Stuttgart, Bibliothek;Kleiner Schlossplatz 13;70437;Stuttgart;Baden-Württemberg;DE;48.76670;9.18330;http://kunstmuseum-stuttgart.de;http://swb.bsz-bw.de/DB=2.203/
DE-Stg271;2383;S1DA;Deutsch-Amerikanisches Zentrum / James-F.-Byrnes-Institut e.V., Bibliothek;Charlottenpl. 17;70173;Stuttgart;Baden-Württemberg;DE;48.77614;9.18187;http://www.daz.org;http://swb.bsz-bw.de/DB=2.203/
DE-Stg273;2384;S1WP;Verein für Familienkunde in Baden-Württemberg e.V., Vereinsbücherei;Balinger Str. 33/1;70567;Stuttgart;Baden-Württemberg;DE;48.72960;9.14147;https://www.vfkbw.de/;http://swb.bsz-bw.de/DB=2.203/
DE-Stg91;2385;S1RB;Rathausbibliothek;Marktpl. 1;70173;Stuttgart;Baden-Württemberg;DE;48.77481;9.17749;http://www.stuttgart.de/rathausbibliothek;http://swb.bsz-bw.de/DB=2.203/
DE-Stg92;2386;S1KB;Katholisches Bibelwerk e.V., Bibliothek;Silberburgstr. 121;70176;Stuttgart;Baden-Württemberg;DE;48.77635;9.16518;https://www.bibelwerk.de/home;http://swb.bsz-bw.de/DB=2.203/
DE-Sul1;2387;S1EOMB;Evangelische Michaelsbruderschaft, Bibliothek;Kloster Kirchberg;72172;Sulz/Neckar;Baden-Württemberg;DE;48.35763;8.73406;http://www.klosterkirchberg.de/;http://swb.bsz-bw.de/DB=2.203/
DE-Tue127;2388;TUAUHG;Hölderlin-Gesellschaft, Bibliothek;Bursagasse 6;72070;Tübingen;Baden-Württemberg;DE;48.51933;9.05567;http://www.hoelderlin-gesellschaft.de/;http://swb.bsz-bw.de/DB=2.203/
DE-Tue130;2389;TUAUZU;Umweltzentrum, Bibliothek;Kronenstr. 4;72070;Tübingen;Baden-Württemberg;DE;48.51982;9.05360;http://www.umweltzentrum-tuebingen.de/;http://swb.bsz-bw.de/DB=2.203/
